Month,Day,Hour,DayOfWeek,Holiday,Power,Temperature, 
1,22,18,7,0,77.8447,28.135, 
1,22,19,7,0,75.9723,28.825, 
1,22,20,7,0,73.428,28.19, 
1,22,21,7,0,70.4769,26.865, 
1,22,22,7,0,65.4659,25.935, 
1,22,23,7,0,59.2479,25.165, 
1,22,24,7,0,55.8741,26.235, 
1,23,1,1,0,54.2402,27.15, 
1,23,2,1,0,54.5294,28.135, 
1,23,3,1,0,55.7865,28.9, 
1,23,4,1,0,55.9203,28.9, 
1,23,5,1,0,58.7104,29.065, 
1,23,6,1,0,65.9838,30.03, 
1,23,7,1,0,79.9406,30.2, 
1,23,8,1,0,86.2549,30.27, 
1,23,9,1,0,86.7327,29.065, 
1,23,10,1,0,86.3423,30.0947, 
1,23,11,1,0,88.5092,31.065, 
1,23,12,1,0,86.6745,32.6231, 
1,23,13,1,0,83.5308,33.1, 
1,23,14,1,0,84.8858,33.4938, 
1,23,15,1,0,83.6599,33.7736, 
1,23,16,1,0,83.7371,33.3032, 
1,23,17,1,0,89.2939,33.5846, 
1,23,18,1,0,88.1532,33.3032, 
1,23,19,1,0,84.5962,33.625, 
1,23,20,1,0,83.2886,32.935, 
1,23,21,1,0,78.8687,32, 
1,23,22,1,0,72.6712,32, 
1,23,23,1,0,66.6223,30.9, 
1,23,24,1,0,62.2813,30.69, 
1,24,1,2,0,58.1363,29.4436, 
1,24,2,2,0,57.9243,26.6, 
1,24,3,2,0,57.3773,25.0375, 
1,24,4,2,0,57.1313,24.4, 
1,24,5,2,0,59.5869,25.8, 
1,24,6,2,0,67.0762,23.635, 
1,24,7,2,0,84.0746,21.3, 
1,24,8,2,0,92.9723,23.3, 
1,24,9,2,0,88.2934,25.165, 
1,24,10,2,0,86.2986,26.82, 
1,24,11,2,0,87.6439,31.335, 
1,24,12,2,0,83.81,33.995, 
1,24,13,2,0,82.9187,35.6, 
1,24,14,2,0,84.0015,36, 
1,24,15,2,0,82.9692,35.7, 
1,24,16,2,0,82.3071,34, 
1,24,17,2,0,86.759,34, 
1,24,18,2,0,85.9177,33.4, 
1,24,19,2,0,83.9557,30.3, 
1,24,20,2,0,81.162,32, 
1,24,21,2,0,77.4127,31.7, 
1,24,22,2,0,72.2771,30, 
1,24,23,2,0,65.8734,29.835, 
1,24,24,2,0,62.1996,28.9, 
1,25,1,3,0,59.7945,29.2, 
1,25,2,3,0,59.1041,30.9, 
1,25,3,3,0,58.8668,30.6, 
1,25,4,3,0,58.4479,29.095, 
1,25,5,3,0,60.7949,30.17, 
1,25,6,3,0,66.7522,30.2, 
1,25,7,3,0,81.455,30.5684, 
1,25,8,3,0,86.4834,30.2679, 
1,25,9,3,0,85.213,32, 
1,25,10,3,0,84.0683,32.45, 
1,25,11,3,0,86.2571,33.8, 
1,25,12,3,0,83.244,33.9, 
1,25,13,3,0,81.4841,33.82, 
1,25,14,3,0,83.587,34.32, 
1,25,15,3,0,83.1785,35.1804, 
1,25,16,3,0,83.1754,34.8, 
1,25,17,3,0,87.8986,33.1, 
1,25,18,3,0,85.9879,32.935, 
1,25,19,3,0,83.493,32, 
1,25,20,3,0,80.8786,32.165, 
1,25,21,3,0,77.7268,32.935, 
1,25,22,3,0,72.224,32, 
1,25,23,3,0,65.8066,31.19, 
1,25,24,3,0,62.5999,30.7342, 
1,26,1,4,0,59.8916,28.825, 
1,26,2,4,0,59.0613,28.4, 
1,26,3,4,0,58.1139,28.9, 
1,26,4,4,0,57.587,28.765, 
1,26,5,4,0,60.117,27.85, 
1,26,6,4,0,66.508,27, 
1,26,7,4,0,81.3163,27.15, 
1,26,8,4,0,86.4745,28, 
1,26,9,4,0,86.5389,28.3, 
1,26,10,4,0,85.0908,30.3, 
1,26,11,4,0,86.2349,32.165, 
1,26,12,4,0,83.9697,33.235, 
1,26,13,4,0,82.2294,33.865, 
1,26,14,4,0,82.9791,33.1, 
1,26,15,4,0,82.6268,32.935, 
1,26,16,4,0,83.9899,31.7, 
1,26,17,4,0,88.939,29.835, 
1,26,18,4,0,88.722,28.615, 
1,26,19,4,0,86.8637,26.67, 
1,26,20,4,0,84.4556,24.695, 
1,26,21,4,0,81.3915,23.935, 
1,26,22,4,0,75.1553,22.7, 
1,26,23,4,0,69.0246,20.835, 
1,26,24,4,0,65.1536,19.9, 
1,27,1,5,0,61.3213,19.765, 
